uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,note,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
concept:avegaarboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.avegaarboring,collectie:boormethodes,avegaarboring,avegaarboring,"volle avegaarboring, gewone avegaarboring, machinale spiraalboring",concept:drogeboring,,,,,De volle of gewone avegaarboring wordt uitgevoerd met een machinaal aangedreven spiraalboor (schroef). De grond wordt los gefreesd door een schroef die ook instaat  voor het transport van de grond naar het maaiveld.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:lepelboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.lepelboring,collectie:boormethodes,lepelboring,lepelboring,,concept:drogeboring,,,,,Boring uitgevoerd met een lepelboor die machinaal in de grond wordt gedreven. ,,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:trilboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.trilboring,collectie:boormethodes,trilboring,trilboring,,concept:drogeboring,,,,,Boring waarbij de boorstang machinaal in de grond wordt getrild.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:sonischeboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.sonischeboring,collectie:boormethodes,sonischeboring,roto-sonische boring,sonische boring,concept:trilboring,,,,,De (roto) sonische boring is een trilboring waarbij de boorstang onder hoogfrequente trilling al dan niet roterend in de grond wordt gebracht.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf). Beschrijving: Boren voor de installatie van verticale bodemwarmtewisselaars (versie 3.1) - Smart Geotherm: (https://www.smartgeotherm.be/documents/2014/01/boren-voor-de-installatie-van-verticale-bodemwarmtewisselaars-bij-ondiepe-geothermie.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:slagboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.slagboring,collectie:boormethodes,slagboring,slagboring,,concept:drogeboring,,,,,"Boring waarbij middels slagen op de boorstang, deze in de ondergrond ingebracht wordt. ",Beschrijving: Boren voor de installatie van verticale bodemwarmtewisselaars (versie 3.1) - Smart Geotherm: (https://www.smartgeotherm.be/documents/2014/01/boren-voor-de-installatie-van-verticale-bodemwarmtewisselaars-bij-ondiepe-geothermie.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:ramguts,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.ramguts,collectie:boormethodes,ramguts,ramguts,,concept:slagboring,,,,,Boring uitgevoerd met een gutsboor die machinaal met een slaghamer in de grond wordt gedreven. ,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:ramkernboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.ramkernboring,collectie:boormethodes,ramkernboring,ramkernboring,holle avegaarboring,concept:slagboring,,,,,"Boring uitgevoerd met een machinaal aangedreven spiraalboor (schroef) rond een holle binnenbuis om op de bereikte diepte een monster te nemen m.b.v. een ramguts, steekbus, staalnamebuis, of een peilbuis te plaatsen. Een valgewicht hamert een binnenbuis, voorzien van een staalnamebuis tot op diepte.",Bron: Afdeling Geotechniek (VO). Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:gestokenboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.gestokenboring,collectie:boormethodes,gestokenboring,gestoken boring,steekboring,concept:slagboring,,,,,Boring uitgevoerd met een machinaal aangedreven steekboor voorzien van een staalnamebuis die in de grond wordt geslagen voor (semi) ongeroerde staalname.,Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:kernboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.kernboring,collectie:boormethodes,kernboring,kernboring,"rotary kernboring, kroonboring",concept:machinaleboring,,,,,"Boring uitgevoerd met een kernboor, (rotary kernboor, kroonboor) of steenboor waarbij  boorkernen als stalen van de ondergrond bekomen worden.",Beschrijving in CMA/1/A.1 - Type Boringen en uitvoeringsmethodes gehanteerd bij staalname (https://reflabos.vito.be/2018/CMA_1_A.1.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:pulsboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.pulsboring,collectie:boormethodes,pulsboring,pulsboring,"pulsinstallatie, counterflushboring",concept:machinaleboring,,,,,Boring uitgevoerd met een machinaal aangedreven pulsboor.,Beschrijving: Boren voor de installatie van verticale bodemwarmtewisselaars (versie 3.1) - Smart Geotherm: (https://www.smartgeotherm.be/documents/2014/01/boren-voor-de-installatie-van-verticale-bodemwarmtewisselaars-bij-ondiepe-geothermie.pdf/).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:diagrafieboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.diagrafieboring,collectie:boormethodes,diagrafieboring,diagrafieboring,,concept:machinaleboring,,,,,Destructieve boring waarbij tijdens het boren de boorparameters (zoals boorsnelheid) geregistreerd worden om zo heterogene variaties in de ondergrond vast te leggen.,Beschrijving Techniek Verticale boringen (https://smetgroup.be/wp-content/uploads/techniek_verticale_boringen.pdf).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:grijperboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.grijperboring,collectie:boormethodes,grijperboring,grijperboring,,concept:machinaleboring,,,,,"Dit is een methode die meestal wordt aangewend voor het aanleggen van waterwinningen met zeer grote diameter en in zeer grof materiaal, zoals dit het geval is in bv. de maasgrinden. Hierbij wordt een grote casing door middel van een oscillatiebeweging (schudkader) in de grond gedreven die vervolgens, zoals bij het pulsen, aan de binnenkant wordt leeggemaakt d.m.v. een grijper aan een kabelkraan. Als de casing tot in de watervoerende laag gedreven is en leeggemaakt, wordt in het midden ervan de putuitrusting geplaatst, die met het nodige grindpakket wordt omgeven, terwijl stelselmatig de casing wordt teruggetrokken.",Boringen en exploitatie van grondwaterwinningsputten. Deel 1 Overzicht van de meest gebruikte boortechnieken (https://navigator.emis.vito.be/light?woId=76828&woLang=nl&woVersion=2024-04-07).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
concept:hamerboring,be.vlaanderen.bodemenondergrond.data.id.concept.boormethode.hamerboring,collectie:boormethodes,hamerboring,hamerboring,"luchthamer, steenboring",concept:machinaleboring,,,,,"Boring uitgevoerd met een machinaal aangedreven steenboor, hamer of luchthamer door harde ondergrond.",Boringen en exploitatie van grondwaterwinningsputten. Deel 1 Overzicht van de meest gebruikte boortechnieken (https://navigator.emis.vito.be/light?woId=76828&woLang=nl&woVersion=2024-04-07).,,,,,conceptscheme:boormethode,,,,,,,conceptscheme:boormethode
